year,stco_code,totalpopulation,Crude prevalence,Age-adjusted prevalence
2018,47111,24265,19,17.9
2018,47113,97605,16,15.2
2018,47115,28575,18.2,16.4
2018,47117,33683,16.7,15.6
2018,47119,94340,15,14
2018,47121,12306,18.2,16.3
2018,47123,46357,19.5,17.6
2018,47125,205950,13.3,14.1
2018,47127,6411,16.8,15
2018,47129,21579,20,18.6
2018,47131,30267,19.3,17.6
2018,47133,22068,19.1,17.4
2018,47135,8064,21.4,19.4
2018,47137,5082,20.3,17.4
2018,47139,16898,18.8,16.9
2018,47141,78843,16.2,16.1
2018,47143,33044,19.1,17.7
2018,47145,53140,17.2,15.1
2018,47147,71012,15.1,14.2
2018,47149,324890,12.9,13.3
2018,47151,22039,20,18.6
2018,47153,14876,17.7,15.9
2018,47155,97892,17.5,15.9
2018,47157,935764,15.5,15.1
2018,47159,19942,17.6,16.2
2018,47161,13561,17.3,15.5
2018,47163,157668,17.3,15.5
2018,47165,187149,14.2,13.2
2018,47167,61581,16,15.1
2018,47169,11012,15.7,16.2
2018,47171,17761,19.3,17.1
2018,47173,19688,20.4,18.5
2018,47175,5765,21.1,18.6
2018,47177,40878,19.5,18
2018,47179,128607,14.9,14.2
2018,47181,16558,18.5,17.1
2018,47183,33415,16.8,16.4
2018,47185,27107,19.4,17.6
2018,47187,231729,10.4,9.6
2018,47189,140625,13.4,12.5
2018,48001,58057,15.1,14.6
2018,48003,18128,13,13.1
2018,48005,87092,16.4,15.5
2018,48007,23792,17.1,14.5
2018,48009,8786,13.6,12
2018,48011,1892,12.9,11.2
2018,48013,50310,14.3,13.7
2018,48015,29989,13.6,12.3
2018,48017,7027,15,14.4
2018,48019,22824,14.7,12.3
2018,48021,86976,14,13
2018,48023,3582,14.4,12.7
2018,48025,32587,15.1,15.5
2018,48027,355642,12.2,12.7
2018,48029,1986049,12.4,12.5
2018,48031,11702,13.7,11.6
2018,48033,648,11.5,9.8
2018,48035,18691,15.5,13.5
2018,48037,94324,14.7,14
2018,48039,370200,11.2,11
2018,48041,226758,10.4,12.4
2018,48043,9267,13.4,12.1
2018,48045,1516,16.1,14.3
2018,48047,7114,18.5,17.6
2018,48049,37924,14.5,13.3
2018,48051,18389,15,13.3
2018,48053,47542,13.9,12.3
2018,48055,43247,14.8,14.5
2018,48057,21561,14.6,13.5
2018,48059,13994,14.9,13.3
2018,48061,423908,17.3,17.1
2018,48063,13033,15.7,14.5
2018,48065,6005,12.1,10.9
2018,48067,30119,16.4,14.6
2018,48069,7665,15.1,14.4
2018,48071,42454,12.9,12.6
2018,48073,52592,16.1,15.1
2018,48075,7291,14,14.6
2018,48077,10456,14.5,12.5
2018,48079,2836,18.4,17.1
2018,48081,3370,15.5,13.5
2018,48083,8397,16.7,14.4
2018,48085,1005146,9.6,9.3
2018,48087,2962,15.9,14.6
2018,48089,21217,14.9,13.3
2018,48091,148373,11.8,10.7
2018,48093,13534,15.5,13.6
2018,48095,4276,15.4,14.8
2018,48097,40574,13.9,12.8
2018,48099,74808,12.6,13.5
2018,48101,1389,19.5,17
2018,48103,4794,13,12.7
2018,48105,3499,14.3,13.1
2018,48107,5779,17.3,16
2018,48109,2204,20.3,18.5
2018,48111,7200,14.3,14.1
2018,48113,2637772,12.7,12.9
2018,48115,12619,17.1,17
2018,48117,18760,14.7,14.6
