cbsa_code,cbsa_name,naics2_code,naics2_name,year,cbsa_jobdensity
16980,"Chicago, IL-IN-WI",71,Arts/Entertainment,2004,24170.017578125
16980,"Chicago, IL-IN-WI",72,Hospitality,2004,27007.544921875
16980,"Chicago, IL-IN-WI",81,Local Services,2004,37158.5703125
17140,"Cincinnati, OH-KY-IN",00,Total,2004,6968.1494140625
17140,"Cincinnati, OH-KY-IN",11,Agriculture,2004,805.210571289062
17140,"Cincinnati, OH-KY-IN",21,Mining,2004,616.581359863281
17140,"Cincinnati, OH-KY-IN",22,Utilities,2004,3687.5341796875
17140,"Cincinnati, OH-KY-IN",23,Construction,2004,2460.603515625
17140,"Cincinnati, OH-KY-IN",31,Manufacturing,2004,3508.90600585938
17140,"Cincinnati, OH-KY-IN",42,Wholesale,2004,3560.494140625
17140,"Cincinnati, OH-KY-IN",44,Retail,2004,3495.38720703125
17140,"Cincinnati, OH-KY-IN",48,Logistics,2004,5340.2744140625
17140,"Cincinnati, OH-KY-IN",51,Information,2004,12685.828125
17140,"Cincinnati, OH-KY-IN",52,Finance,2004,11350.6669921875
17140,"Cincinnati, OH-KY-IN",53,Real Estate,2004,5446.82177734375
17140,"Cincinnati, OH-KY-IN",54,Professional,2004,14615.375
17140,"Cincinnati, OH-KY-IN",55,Headquarters,2004,28816.572265625
17140,"Cincinnati, OH-KY-IN",61,Education,2004,5274.55908203125
17140,"Cincinnati, OH-KY-IN",62,Health Care,2004,8363.5771484375
17140,"Cincinnati, OH-KY-IN",71,Arts/Entertainment,2004,5959.3408203125
17140,"Cincinnati, OH-KY-IN",72,Hospitality,2004,5454.4033203125
17140,"Cincinnati, OH-KY-IN",81,Local Services,2004,4728.05224609375
17460,"Cleveland, OH",00,Total,2004,8923.66796875
17460,"Cleveland, OH",11,Agriculture,2004,438.435882568359
17460,"Cleveland, OH",21,Mining,2004,4688.9521484375
17460,"Cleveland, OH",22,Utilities,2004,3815.50317382812
17460,"Cleveland, OH",23,Construction,2004,2961.52490234375
17460,"Cleveland, OH",31,Manufacturing,2004,3605.44116210938
17460,"Cleveland, OH",42,Wholesale,2004,7500.693359375
17460,"Cleveland, OH",44,Retail,2004,3701.44018554688
17460,"Cleveland, OH",48,Logistics,2004,3332.40942382812
17460,"Cleveland, OH",51,Information,2004,10622.00390625
17460,"Cleveland, OH",52,Finance,2004,18419.78125
17460,"Cleveland, OH",53,Real Estate,2004,6120.56787109375
17460,"Cleveland, OH",54,Professional,2004,18051.580078125
