cbsa,cbsaname,naics,sector,measure,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,cbsa_code
32820,"Memphis, TN-MS-AR",22,Utilities,actual job density,646.8453369140625,643.3724365234375,575.11871337890625,372.798095703125,545.86273193359375,319.00921630859375,513.8912353515625,516.71478271484375,475.9411315917969,404.634033203125,367.04022216796875,388.04388427734375,32820
32820,"Memphis, TN-MS-AR",23,Construction,actual job density,1884.4390869140625,1870.3206787109375,1830.33642578125,1702.45556640625,1703.234130859375,1817.5596923828125,1598.4207763671875,1557.1209716796875,1516.174072265625,1517.5772705078125,1540.229736328125,1518.5389404296875,32820
32820,"Memphis, TN-MS-AR",31,Manufacturing,actual job density,2341.461181640625,2344.914306640625,2174.42236328125,2136.40087890625,2111.138916015625,2083.537841796875,2029.97119140625,2116.721435546875,2233.884033203125,2110.330078125,2119.50537109375,1964.6575927734375,32820
32820,"Memphis, TN-MS-AR",42,Wholesale,actual job density,2705.167236328125,2696.684814453125,2580.890625,2447.5029296875,2454.54736328125,2224.10546875,2218.038818359375,2305.891845703125,2286.608154296875,2082.913818359375,2022.595458984375,2018.761474609375,32820
32820,"Memphis, TN-MS-AR",44,Retail,actual job density,3526.8427734375,3535.371826171875,3815.23828125,3365.500244140625,3489.773193359375,3441.04931640625,3490.328125,2748.7412109375,2828.619873046875,2697.464111328125,2943.714111328125,2262.146240234375,32820
32820,"Memphis, TN-MS-AR",48,Logistics,actual job density,2971.47412109375,3012.801513671875,2320.89599609375,2589.61767578125,2585.994384765625,2505.32470703125,2572.565185546875,2967.562744140625,2612.589111328125,2486.428955078125,2305.385498046875,2293.828125,32820
32820,"Memphis, TN-MS-AR",51,Information,actual job density,4268.57568359375,4354.7177734375,4038.023193359375,4121.46875,3682.733154296875,3388.220947265625,3847.5859375,3575.240966796875,3556.130859375,3585.584228515625,3443.831298828125,3539.6162109375,32820
32820,"Memphis, TN-MS-AR",52,Finance,actual job density,7293.08935546875,7430.6171875,7394.55712890625,5011.21484375,7967.9111328125,7838.05908203125,8210.375,7774.41650390625,7544.36474609375,7265.07763671875,6960.9228515625,6885.59912109375,32820
32820,"Memphis, TN-MS-AR",53,Real Estate,actual job density,4947.01171875,5365.4267578125,4936.04345703125,4569.8740234375,4816.9111328125,4831.44970703125,4526.5078125,4375.193359375,4465.9755859375,4353.4384765625,4257.537109375,4127.3603515625,32820
32820,"Memphis, TN-MS-AR",54,Professional,actual job density,5520.44677734375,5564.765625,5615.96630859375,4705.53564453125,5104.47314453125,4707.341796875,4966.5078125,4679.17822265625,4657.189453125,4612.884765625,4562.119140625,4906.3505859375,32820
32820,"Memphis, TN-MS-AR",55,Headquarters,actual job density,4077.416259765625,4263.384765625,4332.92822265625,3925.476318359375,3973.198486328125,4015.413818359375,5233.7421875,5406.97607421875,5015.083984375,4976.564453125,5278.78369140625,5410.03076171875,32820
32820,"Memphis, TN-MS-AR",61,Education,actual job density,3977.968994140625,4040.208740234375,4092.33935546875,4220.7421875,4195.21923828125,3635.76611328125,3789.249755859375,3459.752685546875,2901.266357421875,2839.818359375,2695.182861328125,2520.118408203125,32820
32820,"Memphis, TN-MS-AR",62,Health Care,actual job density,7621.537109375,8030.51513671875,7930.51416015625,7530.81982421875,7614.63232421875,8333.0849609375,8608.4482421875,8538.4921875,8575.8193359375,8583.4091796875,9106.56640625,9079.5,32820
32820,"Memphis, TN-MS-AR",71,Arts/Entertainment,actual job density,2588.5087890625,2614.99658203125,2532.71533203125,2316.084228515625,2495.05029296875,2558.727783203125,2355.72412109375,2980.909423828125,2357.7734375,2179.029052734375,2274.467041015625,2169.23046875,32820
32820,"Memphis, TN-MS-AR",72,Hospitality,actual job density,4008.430908203125,3874.373291015625,4049.52099609375,3473.42626953125,3568.010009765625,3437.507568359375,3333.688720703125,3052.873291015625,3037.603515625,3092.28857421875,3016.09033203125,3070.7626953125,32820
32820,"Memphis, TN-MS-AR",81,Local Services,actual job density,3178.9775390625,3425.5546875,3462.759765625,3222.773193359375,3483.87548828125,3439.628662109375,3347.79736328125,3222.21337890625,3132.64111328125,3425.283447265625,3369.608642578125,3251.00341796875,32820
33100,"Miami, FL",00,Total,actual job density,8115.0322265625,7933.64892578125,8192.9814453125,7933.55224609375,8031.97216796875,8226.798828125,8187.68896484375,8329.1787109375,8034.3095703125,8178.04541015625,8397.92578125,9020.3115234375,33100
33100,"Miami, FL",11,Agriculture,actual job density,1699.029541015625,1276.429443359375,1138.85009765625,1062.993408203125,922.6124267578125,996.47491455078125,1360.794677734375,1380.4407958984375,1507.1309814453125,1622.446044921875,1549.7275390625,1738.5338134765625,33100
33100,"Miami, FL",21,Mining,actual job density,2351.471435546875,2602.900146484375,1989.358154296875,2170.878173828125,2211.766845703125,2176.09423828125,1920.837646484375,2545.869873046875,3696.32177734375,2435.170654296875,3028.32666015625,2696.644775390625,33100
33100,"Miami, FL",22,Utilities,actual job density,3566.47216796875,3793.461669921875,3784.06689453125,4083.51806640625,3904.67333984375,4033.831298828125,3898.65380859375,3491.271728515625,3268.395263671875,3096.244873046875,3237.373046875,3455.068115234375,33100
33100,"Miami, FL",23,Construction,actual job density,4388.7431640625,4627.474609375,4732.42333984375,5104.22216796875,4912.51171875,4544.54736328125,4529.95947265625,4345.1806640625,4204.802734375,4135.9951171875,4165.70556640625,4305.95361328125,33100
33100,"Miami, FL",31,Manufacturing,actual job density,4972.103515625,4891.62646484375,5093.59765625,5103.25634765625,4845.6962890625,4373.146484375,4420.16943359375,4538.03857421875,4250.60693359375,4345.92041015625,4395.7451171875,4743.4638671875,33100
33100,"Miami, FL",42,Wholesale,actual job density,5988.517578125,6023.3525390625,5996.84619140625,6079.1796875,6016.99951171875,5446.40185546875,5526.94580078125,5737.00341796875,5568.525390625,5624.0517578125,5857.26025390625,6278.63134765625,33100
33100,"Miami, FL",44,Retail,actual job density,5469.74853515625,5311.072265625,5284.7421875,5502.21630859375,5504.6201171875,5195.26123046875,5406.5634765625,5883.8916015625,6087.88427734375,6178.87548828125,6240.89599609375,6626.36962890625,33100
33100,"Miami, FL",48,Logistics,actual job density,23123.326171875,20577.2265625,19920.876953125,10240.845703125,9743.1142578125,19805.7109375,19069.228515625,12537.5146484375,6959.51123046875,6550.1796875,6888.05126953125,10164.505859375,33100
33100,"Miami, FL",51,Information,actual job density,9860.064453125,11682.0478515625,11192.53515625,9764.54296875,9725.8203125,8464.375,7968.03173828125,8241.6328125,8126.912109375,8639.921875,8785.251953125,9493.869140625,33100
33100,"Miami, FL",52,Finance,actual job density,11866.623046875,12635.87890625,12942.4814453125,14638.7431640625,15098.5654296875,14004.919921875,13424.5009765625,14434.654296875,14375.6669921875,14777.4599609375,15401.326171875,16441.701171875,33100
33100,"Miami, FL",53,Real Estate,actual job density,7590.04345703125,6313.50390625,8197.83984375,8265.5791015625,8071.26025390625,7866.90625,6903.712890625,7097.6455078125,7339.8330078125,7877.59814453125,8311.9814453125,8451.3447265625,33100
33100,"Miami, FL",54,Professional,actual job density,12018.0517578125,12154.318359375,13111.19921875,13580.23046875,13772.26171875,13349.88671875,13021.0634765625,13652.392578125,13010.37890625,13481.3603515625,14054.125,15578.189453125,33100
33100,"Miami, FL",55,Headquarters,actual job density,8298.7255859375,8825.5732421875,8650.9462890625,9062.8095703125,9279.212890625,9290.923828125,8241.525390625,9333.4013671875,9169.5849609375,9649.12890625,10019.166015625,9409.23046875,33100
33100,"Miami, FL",61,Education,actual job density,6533.25244140625,5007.5693359375,7175.75390625,7297.0546875,7596.3876953125,8131.79541015625,8427.1953125,8534.3388671875,8499.857421875,7815.9814453125,8104.77734375,8380.3720703125,33100
33100,"Miami, FL",62,Health Care,actual job density,7723.82861328125,6558.92431640625,7654.3486328125,7955.70703125,8385.5341796875,7783.12744140625,8049.37841796875,8953.244140625,8631.3505859375,8312.5048828125,8769.4375,8921.3408203125,33100
33100,"Miami, FL",71,Arts/Entertainment,actual job density,4504.4912109375,4293.95654296875,5108.11376953125,4040.6669921875,4104.8115234375,3735.669677734375,3914.88525390625,3782.52978515625,4521.685546875,4490.966796875,4658.0673828125,4952.171875,33100
33100,"Miami, FL",72,Hospitality,actual job density,8686.548828125,9031.701171875,8993.837890625,8611.65234375,8792.501953125,9116.2109375,9022.2021484375,9357.6572265625,9694.9228515625,9938.2177734375,10198.806640625,11043.9892578125,33100
33100,"Miami, FL",81,Local Services,actual job density,6598.9638671875,6516.2392578125,6148.59521484375,6270.154296875,6360.09375,6160.01806640625,6208.50830078125,6688.63720703125,6849.1982421875,8034.9833984375,7900.212890625,7704.853515625,33100
33460,"Minneapolis, MN-WI",00,Total,actual job density,16286.287109375,17386.48046875,15580.7158203125,17891.599609375,21624.376953125,19039.16015625,17510.931640625,15830.599609375,19336.10546875,20150.681640625,17247.490234375,17631.265625,33460
33460,"Minneapolis, MN-WI",11,Agriculture,actual job density,643.5191650390625,616.21044921875,823.17401123046875,792.341796875,1158.0338134765625,934.5303955078125,816.79925537109375,713.49798583984375,1693.3017578125,1607.1923828125,1015.7311401367187,1265.532958984375,33460
33460,"Minneapolis, MN-WI",21,Mining,actual job density,833.64923095703125,807.8885498046875,1421.4776611328125,762.07672119140625,812.443603515625,452.18707275390625,1088.7891845703125,819.00408935546875,1171.5882568359375,1200.0322265625,3147.8125,3187.990966796875,33460
33460,"Minneapolis, MN-WI",22,Utilities,actual job density,38251.890625,98749.984375,54717.44140625,42244.4375,125904.8046875,122930.3125,126555.6875,118154.8515625,133557.125,140628.15625,63061.09765625,52643.59765625,33460
