cbsa,cbsaname,stco_code,county,type,naics,sector,measure,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,cbsa_code
19740,"Denver, CO",00000,Metro Total,TOTAL,00,Total,actual job density,13776.443359375,13653.4072265625,14058.064453125,14484.7958984375,15136.65234375,15550.7841796875,14624.7509765625,14679.0927734375,14628.7490234375,14239.486328125,14646.6162109375,15258.65625,19740
19740,"Denver, CO",08001,"Adams County, Colorado",MS,00,Total,actual job density,2264.527099609375,2301.07080078125,2270.48828125,2302.212890625,2341.888671875,2147.09619140625,2176.568603515625,2145.4189453125,2035.427734375,2020.4471435546875,2325.629150390625,2444.39013671875,19740
19740,"Denver, CO",08005,"Arapahoe County, Colorado",UC,00,Total,actual job density,7256.85400390625,8100.24951171875,8189.26416015625,7675.974609375,8388.484375,7831.59521484375,7476.42578125,7970.12744140625,8050.02001953125,8416.0234375,8646.697265625,9198.9658203125,19740
19740,"Denver, CO",08014,Metro Total,MS,00,Total,actual job density,4075.18505859375,4101.9677734375,4379.7119140625,4432.685546875,4464.927734375,3891.224365234375,4330.5849609375,3891.594970703125,4041.002197265625,4373.83447265625,3576.92529296875,3693.17578125,19740
19740,"Denver, CO",08019,"Clear Creek County, Colorado",EX,00,Total,actual job density,21.94900894165039,20.305957794189453,26.25446319580078,27.208662033081055,29.07330894470215,31.26494789123535,31.806217193603516,29.200273513793945,29.67392921447754,26.826528549194336,29.75827407836914,25.946170806884766,19740
19740,"Denver, CO",08031,"Denver County, Colorado",UC,00,Total,actual job density,30284.9140625,30106.623046875,31356.73828125,32929.56640625,33880.47265625,35959.81640625,34053.765625,33323.53515625,33211.99609375,32132.646484375,32976.25,34135.3046875,19740
19740,"Denver, CO",08035,"Douglas County, Colorado",ES,00,Total,actual job density,2569.581298828125,2863.860107421875,2899.076171875,3051.9658203125,3117.073974609375,2967.98681640625,2921.690673828125,3096.4052734375,3010.067626953125,3049.2978515625,3083.86962890625,3027.322509765625,19740
19740,"Denver, CO",08039,"Elbert County, Colorado",EX,00,Total,actual job density,11.495327949523926,15.726439476013184,16.838226318359375,13.645829200744629,11.715311050415039,9.616040229797363,9.673815727233887,8.779458999633789,15.393392562866211,12.747732162475586,12.818974494934082,13.744767189025879,19740
19740,"Denver, CO",08047,"Gilpin County, Colorado",EX,00,Total,actual job density,145.7351837158203,159.28359985351562,147.2162322998047,113.34866333007812,83.07225799560547,179.7342987060547,212.7991485595703,116.62226867675781,150.80836486816406,138.97640991210937,134.94009399414062,128.807373046875,19740
19740,"Denver, CO",08059,"Jefferson County, Colorado",MS,00,Total,actual job density,3071.4345703125,3077.73388671875,2931.633056640625,2993.478759765625,3206.536865234375,2817.048095703125,2939.294677734375,2990.951416015625,2820.8330078125,2830.068603515625,2891.817138671875,3067.4814453125,19740
19740,"Denver, CO",08093,"Park County, Colorado",EX,00,Total,actual job density,4.07584285736084,2.8404228687286377,3.3308053016662598,3.3994364738464355,2.856191873550415,2.9416215419769287,3.0909111499786377,3.3873002529144287,3.2122607231140137,3.003599166870117,2.8488574028015137,3.7980175018310547,19740
19780,"Des Moines, IA",00000,Metro Total,TOTAL,00,Total,actual job density,7701.486328125,7033.47802734375,7441.54931640625,7358.36962890625,7509.94287109375,7040.58544921875,7001.3271484375,7084.84375,6307.90771484375,6375.8857421875,6523.21923828125,6483.2802734375,19780
19780,"Des Moines, IA",19049,"Dallas County, Iowa",ES,00,Total,actual job density,1604.721435546875,1456.2353515625,1574.951416015625,1460.5120849609375,1460.7435302734375,1315.7823486328125,1471.65576171875,1768.45947265625,1968.711181640625,2129.481201171875,2080.5234375,2172.982177734375,19780
19780,"Des Moines, IA",19077,"Guthrie County, Iowa",EX,00,Total,actual job density,31.913503646850586,32.33180236816406,33.134788513183594,36.96142578125,35.87681579589844,34.76210403442383,38.28804397583008,34.339298248291016,37.73624038696289,37.51189041137695,34.215728759765625,41.435977935791016,19780
19780,"Des Moines, IA",19099,"Jasper County, Iowa",EX,00,Total,actual job density,1674.7235107421875,1505.3778076171875,1438.6983642578125,1167.68408203125,1125.38720703125,1044.6103515625,1141.68115234375,934.9326171875,827.71051025390625,840.25897216796875,842.76171875,828.7095947265625,19780
19780,"Des Moines, IA",19121,"Madison County, Iowa",EX,00,Total,actual job density,191.8494415283203,184.02381896972656,173.95420837402344,172.89395141601562,151.37290954589844,144.4150390625,152.8011474609375,158.11935424804687,180.548095703125,178.5528106689453,186.90771484375,189.82965087890625,19780
19780,"Des Moines, IA",19153,"Polk County, Iowa",MS,00,Total,actual job density,8830.7421875,8098.59912109375,8585.7138671875,8451.751953125,8635.587890625,8128.02490234375,8100.3759765625,8339.8681640625,7418.38671875,7507.8779296875,7675.91064453125,7645.78857421875,19780
