"","rank_year_range","cbsa_code","count","prosperity_rank","growth_rank","inclusion_rank","racial_inclusion_rank","value_year","average_annual_wage","output_per_job","output_per_person","employment_at_firms_0_5_years_old","jobs","real_gdp","employment_to_population_ratio","median_income","relative_income_poverty","gap_in_employment_to_population_ratio","gap_in_median_income","gap_in_relative_income_poverty"
"87","2007-2017","44060",3,"37","69","27","3","2017",45420.1492992642,102229.357307216,44955.0015599253,21336,248120.80334164,25365230260.166,0.7011827,30130.51,0.2564481,0.0601464,7759.203,0.0459212
"88","2007-2017","44140",3,"40",NA,"8","92","2017",46579.8554416159,104944.195092283,48364.0773653183,23216,291100.104861392,30549266195.958,0.6984094,35056.09,0.2613149,0.1539229,15972.97,0.1495623
"89","2007-2017","44700",3,"71","55","50","81","2017",45304.1028101564,110482.626909119,37722.914443971,22764,254515.72399354,28119565776.4827,0.665108,31401.15,0.2532923,0.0445343,15260.03,0.1002994
"90","2007-2017","45060",3,"8","79","6","36","2017",48488.3965636874,128928.854253739,60862.4566542396,19679,309125.77489816,39855231977.9189,0.7048786,33989.71,0.2779207,0.1482759,9829.559,0.1157119
"91","2007-2017","45300",3,"68","52","88","78","2017",48781.9079677581,115661.300678956,48604.077848699,156805,1299091.3708852,150254597657.39,0.7169348,31989.4,0.2397758,0.0128326,10132.32,0.0604788
"92","2007-2017","45780",3,"50","94","45","11","2017",45271.4649289178,114790.467818091,57967.5007299686,17994,304843.47608124,34993125230.6587,0.7296338,29924.05,0.2813897,0.1001753,9963.279,0.0738504
"93","2007-2017","46060",3,"92","92","83","37","2017",44468.970297116,99566.2928283134,37945.7147603025,30055,389787.54392916,38809700739.6798,0.6843745,28978.47,0.2729467,0.003604,10088.64,0.0580464
"94","2007-2017","46140",3,"45","61","7","82","2017",46705.7503510449,120341.740566787,53886.6705977769,42634,443618.711428005,53385847881.2412,0.7335083,32970.14,0.2540736,0.0293272,12048.93,0.0822913
"95","2007-2017","46520",3,"29","48","22","54","2017",52306.4956613602,123052.191511862,67310.0016032122,36949,540795.18834576,66546033085.0157,0.7809882,38020.59,0.2277155,0.0227965,9130.34,0.0633339
"96","2007-2017","47260",3,"80","88","96","50","2017",47839.5059346435,107814.433595275,52907.5124591487,58809,846625.73642734,91278474240.0965,0.753146,32969.25,0.2664679,0.0375707,12799.21,0.0843022
"97","2007-2017","47900",3,"38","32","56","86","2017",73853.444853417,157837.331658863,83173.9762963651,262074,3275894.36982991,517058426130.244,0.7900694,50490.22,0.2689065,0.0315836,23363.14,0.0861267
"98","2007-2017","48620",3,"70",NA,"93","91","2017",44476.074982992,116401.267541689,54643.1641363767,NA,303082.238880306,35279156775.0406,0.7437872,30054.19,0.2530057,0.0916143,12958.51,0.1173601
"99","2007-2017","49180",3,"73","87","79","90","2017",46926.2152712258,128954.664174649,51388.6511676438,21157,266092.726693867,34313898210.1243,0.7041349,30429.08,0.2470172,0.0641201,11376.48,0.1392976
"100","2007-2017","49340",3,"47",NA,"61","26","2017",51936.7954913067,123717.743090537,52914.4781396344,32949,403099.60025828,49870572784.6519,0.7292839,39984.95,0.2595828,0.1092154,12553.49,0.0551023
