cbsa_code,rank_year_range,count,prosperity_rank,growth_rank,inclusion_rank,racial_inclusion_rank,value_year,average_annual_wage,output_per_job,output_per_person,employment_at_firms_0_5_years_old,jobs,real_gdp,employment_to_population_ratio,median_income,relative_income_poverty,gap_in_employment_to_population_ratio,gap_in_median_income,gap_in_relative_income_poverty
40780,NA,NA,NA,NA,NA,NA,2017,37661.0635910531,96709.0924813181,38437.8136573716,NA,33926.229829938,3280974898.16593,NA,NA,NA,NA,NA,NA
40820,NA,NA,NA,NA,NA,NA,2017,34837.4473756235,86700.3735206479,37110.2175494268,NA,20435.785392065,1771790226.67983,NA,NA,NA,NA,NA,NA
40860,NA,NA,NA,NA,NA,NA,2017,41648.5929969309,100781.535610001,48125.5760778628,NA,28215.445383931,2843595913.71268,NA,NA,NA,NA,NA,NA
40940,NA,NA,NA,NA,NA,NA,2017,39140.4432162938,106192.069385317,26458.5577167668,NA,9334.9374313394,991296323.416384,NA,NA,NA,NA,NA,NA
40980,NA,NA,NA,NA,NA,NA,2017,43435.2370136575,94666.3181654399,42381.1721894631,5025,85926.949105559,8134387903.01241,0.6815118,29036.76,0.2842969,0.1273223,10011.75,0.1151048
41060,NA,NA,NA,NA,NA,NA,2017,44224.359539186,94815.189487727,51934.5632400744,6831,108321.53948417,10270527291.7939,0.8333915,30159.21,0.265531,0.0662766,14377.81,0.1889298
41100,NA,NA,NA,NA,NA,NA,2017,34958.311015094,86719.1584866546,33786.886156596804,9907,64544.020400469,5597203134.47414,0.7151501,25024.68,0.2715282,0.1324705,6413.955,0.0307341
41140,NA,NA,NA,NA,NA,NA,2017,41859.137365753,102704.251278923,46828.2101732911,3063,57876.268843085,5944138858.34671,0.6612707,28467.48,0.2944506,0.0290519,15698.83,0.2030246
41220,NA,NA,NA,NA,NA,NA,2017,46881.8061228147,118537.799835338,41402.2823468369,NA,18526.9396585418,2196142664.80562,NA,NA,NA,NA,NA,NA
41260,NA,NA,NA,NA,NA,NA,2017,41870.8022752756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41400,NA,NA,NA,NA,NA,NA,2017,36120.6855999963,92325.1665552988,27643.6686245,NA,30862.943844254,2849426430.80758,NA,NA,NA,NA,NA,NA
41420,NA,NA,NA,NA,NA,NA,2017,43064.8455502289,98238.3438655206,41412.7201173637,15446,179152.66003476,17599660620.9175,0.6920633,30325.57,0.2341176,0.0262254,9804.119,0.0840091
41460,NA,NA,NA,NA,NA,NA,2017,37380.6497744851,85563.6562940285,46282.7851113379,NA,32777.911216815,2804597929.39174,NA,NA,NA,NA,NA,NA
41500,NA,NA,NA,NA,NA,NA,2017,47443.2254596816,113745.334697328,51658.0396928389,15967,198877.75835349,22621417187.772,0.6982501,29967.16,0.2103288,0.035108,18212.41,0.0142542
41540,NA,NA,NA,NA,NA,NA,2017,39311.5402693852,111532.765939157,44404.859635834,13908,161583.41762647,18021845497.7821,0.7011787,29862.78,0.2851198,0.0670744,10774.66,0.057781
41660,NA,NA,NA,NA,NA,NA,2017,41110.1396924733,104321.078949298,46454.1406358148,4362,53228.89445575,5552895700.90213,0.745113,29182.28,0.2239582,0.0192159,4979.832,0.0433302
41760,NA,NA,NA,NA,NA,NA,2017,34906.7668232819,99193.900829269,32547.9234045934,NA,14293.091930565,1417787543.50409,NA,NA,NA,NA,NA,NA
