"","cbsa_type","cbsa_name","cbsa_code","year","patents_issued"
"288","Metropolitan Statistical Area","Columbus, GA-AL","17980",2000,12
"289","Metropolitan Statistical Area","Topeka, KS","45820",2000,16
"290","Metropolitan Statistical Area","Pueblo, CO","39380",2000,5
"291","Metropolitan Statistical Area","St. Joseph, MO-KS","41140",2000,5
"292","Metropolitan Statistical Area","Dalton, GA","19140",2000,12
"293","Metropolitan Statistical Area","Terre Haute, IN","45460",2000,7
"294","Metropolitan Statistical Area","Dover, DE","20100",2000,10
"295","Metropolitan Statistical Area","Billings, MT","13740",2000,8
"296","Metropolitan Statistical Area","Longview, WA","31020",2000,9
"297","Metropolitan Statistical Area","Clarksville, TN-KY","17300",2000,14
"298","Metropolitan Statistical Area","Mansfield, OH","31900",2000,15
"299","Metropolitan Statistical Area","Monroe, LA","33740",2000,10
"300","Metropolitan Statistical Area","Johnstown, PA","27780",2000,15
"301","Metropolitan Statistical Area","Rapid City, SD","39660",2000,11
"302","Metropolitan Statistical Area","Sandusky, OH","41780",2000,7
"303","Metropolitan Statistical Area","Cleveland, TN","17420",2000,7
"304","Metropolitan Statistical Area","Wichita Falls, TX","48660",2000,14
"305","Metropolitan Statistical Area","Bismarck, ND","13900",2000,13
"306","Metropolitan Statistical Area","Wheeling, WV-OH","48540",2000,12
"307","Metropolitan Statistical Area","Lake Havasu City-Kingman, AZ","29420",2000,8
"308","Metropolitan Statistical Area","Palm Coast, FL","37380",2000,7
"309","Metropolitan Statistical Area","Madera-Chowchilla, CA","31460",2000,13
"310","Metropolitan Statistical Area","Elizabethtown, KY","21060",2000,8
"311","Metropolitan Statistical Area","Owensboro, KY","36980",2000,5
"312","Metropolitan Statistical Area","McAllen-Edinburg-Mission, TX","32580",2000,17
"313","Metropolitan Statistical Area","Salisbury, MD","41540",2000,11
"314","Metropolitan Statistical Area","Carson City, NV","16180",2000,5
"315","Metropolitan Statistical Area","Jonesboro, AR","27860",2000,3
"316","Metropolitan Statistical Area","Florence-Muscle Shoals, AL","22520",2000,11
"317","Metropolitan Statistical Area","Hattiesburg, MS","25620",2000,14
"318","Metropolitan Statistical Area","Muncie, IN","34620",2000,8
"319","Metropolitan Statistical Area","Altoona, PA","11020",2000,6
"320","Metropolitan Statistical Area","Yuba City, CA","49700",2000,10
"321","Metropolitan Statistical Area","Albany, GA","10500",2000,8
"322","Metropolitan Statistical Area","Farmington, NM","22140",2000,1
"323","Metropolitan Statistical Area","Harrisonburg, VA","25500",2000,9
"324","Metropolitan Statistical Area","Merced, CA","32900",2000,8
"325","Metropolitan Statistical Area","Rocky Mount, NC","40580",2000,4
"326","Metropolitan Statistical Area","Cheyenne, WY","16940",2000,3
"327","Metropolitan Statistical Area","Brownsville-Harlingen, TX","15180",2000,5
"328","Metropolitan Statistical Area","Pocatello, ID","38540",2000,6
"329","Metropolitan Statistical Area","Vineland-Millville-Bridgeton, NJ","47220",2000,8
"330","Metropolitan Statistical Area","Pascagoula, MS","37700",2000,8
"331","Metropolitan Statistical Area","Alexandria, LA","10780",2000,8
"332","Metropolitan Statistical Area","Rome, GA","40660",2000,4
"333","Metropolitan Statistical Area","Hot Springs, AR","26300",2000,4
"334","Metropolitan Statistical Area","Cape Girardeau-Jackson, MO-IL","16020",2000,5
"335","Metropolitan Statistical Area","Wenatchee-East Wenatchee, WA","48300",2000,5
"336","Metropolitan Statistical Area","Steubenville-Weirton, OH-WV","44600",2000,6
"337","Metropolitan Statistical Area","Anniston-Oxford, AL","11500",2000,6
"338","Metropolitan Statistical Area","Lewiston-Auburn, ME","30340",2000,9
"339","Metropolitan Statistical Area","Brunswick, GA","15260",2000,11
"340","Metropolitan Statistical Area","Jefferson City, MO","27620",2000,8
"341","Metropolitan Statistical Area","Yuma, AZ","49740",2000,1
"342","Metropolitan Statistical Area","Texarkana, TX-Texarkana, AR","45500",2000,6
"343","Metropolitan Statistical Area","Abilene, TX","10180",2000,0
"344","Metropolitan Statistical Area","Ocean City, NJ","36140",2000,7
"345","Metropolitan Statistical Area","Dothan, AL","20020",2000,8
"346","Metropolitan Statistical Area","Warner Robins, GA","47580",2000,7
"347","Metropolitan Statistical Area","Danville, IL","19180",2000,4
"348","Metropolitan Statistical Area","Lima, OH","30620",2000,4
"349","Metropolitan Statistical Area","Sumter, SC","44940",2000,2
"350","Metropolitan Statistical Area","Victoria, TX","47020",2000,6
"351","Metropolitan Statistical Area","Gadsden, AL","23460",2000,4
"352","Metropolitan Statistical Area","Valdosta, GA","46660",2000,6
"353","Metropolitan Statistical Area","Jacksonville, NC","27340",2000,1
"354","Metropolitan Statistical Area","Cumberland, MD-WV","19060",2000,1
"355","Metropolitan Statistical Area","Fairbanks, AK","21820",2000,3
"356","Metropolitan Statistical Area","Aguadilla-Isabela-San Sebasti?n, PR","10380",2000,1
"357","Metropolitan Statistical Area","Danville, VA","19260",2000,4
"358","Metropolitan Statistical Area","Great Falls, MT","24500",2000,7
"359","Metropolitan Statistical Area","Casper, WY","16220",2000,2
"360","Metropolitan Statistical Area","Mayag?ez, PR","32420",2000,3
"361","Metropolitan Statistical Area","Hanford-Corcoran, CA","25260",2000,4
"362","Metropolitan Statistical Area","San Angelo, TX","41660",2000,3
"363","Metropolitan Statistical Area","El Centro, CA","20940",2000,3
"364","Metropolitan Statistical Area","Goldsboro, NC","24140",2000,3
"365","Metropolitan Statistical Area","Lawton, OK","30020",2000,5
"366","Metropolitan Statistical Area","Lewiston, ID-WA","30300",2000,3
"367","Metropolitan Statistical Area","Laredo, TX","29700",2000,2
"368","Metropolitan Statistical Area","Pine Bluff, AR","38220",2000,3
"369","Metropolitan Statistical Area","Hinesville-Fort Stewart, GA","25980",2000,0
"370","Metropolitan Statistical Area","Ponce, PR","38660",2000,1
"371","Metropolitan Statistical Area","San Germ?n-Cabo Rojo, PR","41900",2000,0
"372","Metropolitan Statistical Area","Guayama, PR","25020",2000,0
"373","Metropolitan Statistical Area","Yauco, PR","49500",2000,1
"374","Metropolitan Statistical Area","Fajardo, PR","21940",2000,1
"375","Micropolitan Statistical Area","Corning, NY","18500",2000,50
"376","Micropolitan Statistical Area","Midland, MI","33220",2000,148
"377","Micropolitan Statistical Area","Torrington, CT","45860",2000,108
"378","Micropolitan Statistical Area","Duncan, OK","20340",2000,24
"379","Micropolitan Statistical Area","Warsaw, IN","47700",2000,32
"380","Micropolitan Statistical Area","Lebanon, NH-VT","30100",2000,46
