cbsa_code,year,cbsa_2013_name,cbsa_exports_nominal,cbsa_exports_real,cbsa_pct_exports_gdp
20020,2017,"Dothan, AL",408.541381835938,408.541381835938,0.0709310248494148
20060,2017,"Douglas, GA",312.647369384766,312.647369384766,0.169444635510445
20100,2017,"Dover, DE",521.542724609375,521.542724609375,0.0628736689686775
20140,2017,"Dublin, GA",194.000549316406,194.000549316406,0.085721842944622
20180,2017,"DuBois, PA",254.301254272461,254.301254272461,0.0822037011384964
20220,2017,"Dubuque, IA",950.002014160156,950.002014160156,0.139724060893059
20260,2017,"Duluth, MN-WI",1501.68969726562,1501.68969726562,0.0972078144550323
20300,2017,"Dumas, TX",989.716491699219,989.716491699219,0.380487501621246
20340,2017,"Duncan, OK",298.204528808594,298.204528808594,0.159705936908722
20380,2017,"Dunn, NC",247.570465087891,247.570465087891,0.0752400085330009
20420,2017,"Durango, CO",200.447143554688,200.447143554688,0.0539078414440155
20460,2017,"Durant, OK",92.1639862060547,92.1639862060547,0.0588628947734833
20500,2017,"Durham-Chapel Hill, NC",5481.40380859375,5481.40380859375,0.1369918435812
20540,2017,"Dyersburg, TN",435.766571044922,435.766571044922,0.23249563574791
20580,2017,"Eagle Pass, TX",121.872016906738,121.872016906738,0.0612696222960949
20660,2017,"Easton, MD",154.645156860352,154.645156860352,0.0691074356436729
20700,2017,"East Stroudsburg, PA",765.624633789062,765.624633789062,0.106276974081993
20740,2017,"Eau Claire, WI",770.756591796875,770.756591796875,0.0849833637475967
20780,2017,"Edwards, CO",128.212936401367,128.212936401367,0.0275725554674864
20820,2017,"Effingham, IL",231.770950317383,231.770950317383,0.0866676419973373
20900,2017,"El Campo, TX",381.206359863281,381.206359863281,0.156937688589096
20940,2017,"El Centro, CA",455.672180175781,455.672180175781,0.0599276907742023
20980,2017,"El Dorado, AR",639.492614746094,639.492614746094,0.272460728883743
21020,2017,"Elizabeth City, NC",127.051139831543,127.051139831543,0.0503577701747417
