"","cbsa_code","cbsa_name","cbsa_type","cbsa_pop","cbsa_emp","cbsa_is.top100","cbsa_size","total","male","black","black_male","hispanic","asian","nonminority","male_nonminority"
"163","45820","Topeka, KS","metro",233260,85514,FALSE,"small metros",3256,2047,23,0,67,99,3007,1893
"164","45940","Trenton-Princeton, NJ","metro",368762,196384,FALSE,"midsized metros",7031,4988,135,97,382,1335,5099,3771
"165","46060","Tucson, AZ","metro",1019722,320502,TRUE,"very large metros",13933,7574,185,115,1312,743,11054,6149
"166","46140","Tulsa, OK","metro",985233,401196,TRUE,"large metros",17607,11124,244,126,502,866,14478,9407
"167","46220","Tuscaloosa, AL","metro",249824,85304,FALSE,"small metros",3097,2264,85,60,0,0,2756,2013
"168","46300","Twin Falls, ID","metro",107097,37498,FALSE,"small metros",2647,1477,0,0,106,0,2439,1393
"169","46340","Tyler, TX","metro",225015,89833,FALSE,"small metros",4062,2568,0,0,250,0,3525,2227
"170","46520","Urban Honolulu, HI","metro",987638,366570,TRUE,"large metros",14379,8927,76,51,206,8705,4403,2897
"171","46540","Utica-Rome, NY","metro",293287,100149,FALSE,"midsized metros",4380,3043,0,0,0,240,3982,2768
"172","46660","Valdosta, GA","metro",144564,44264,FALSE,"small metros",2022,1452,92,54,21,146,1754,1282
"173","46700","Vallejo, CA","metro",438530,111931,FALSE,"midsized metros",4905,3058,85,39,452,1093,3076,2055
"174","47260","Virginia Beach-Norfolk-Newport News, VA-NC","metro",1758598,621229,TRUE,"very large metros",24903,15660,1465,785,556,2360,20027,12874
"175","47300","Visalia, CA","metro",460477,96618,FALSE,"midsized metros",5054,3193,25,22,1046,553,3289,2192
"176","47380","Waco, TX","metro",265728,105047,FALSE,"midsized metros",3456,2264,0,0,176,249,2961,1931
"177","47460","Walla Walla, WA","metro",60236,20322,FALSE,"small metros",1214,643,0,0,0,54,1055,578
"178","47580","Warner Robins, GA","metro",178648,45297,FALSE,"small metros",2075,1344,0,0,57,328,1569,1019
"179","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","metro",6151521,2676308,TRUE,"very large metros",102264,65883,6981,3823,6783,19717,66895,45930
"180","47940","Waterloo-Cedar Falls, IA","metro",170132,75798,FALSE,"small metros",2852,1930,0,0,0,77,2739,1828
"181","47020","Victoria, TX","metro",99501,33922,FALSE,"small metros",1738,1135,0,0,170,162,1324,890
"182","47220","Vineland-Bridgeton, NJ","metro",153400,47231,FALSE,"small metros",2247,1540,0,0,150,0,1750,1218
"183","48060","Watertown-Fort Drum, NY","metro",114448,29772,FALSE,"small metros",1560,1029,0,NA,41,0,1431,968
"184","48140","Wausau-Weston, WI","metro",163112,73859,FALSE,"small metros",2275,1480,0,NA,NA,61,2202,1467
"185","48260","Weirton-Steubenville, WV-OH","metro",119338,33975,FALSE,"small metros",1438,957,0,0,0,0,1400,925
"186","48300","Wenatchee, WA","metro",117128,37026,FALSE,"small metros",3099,1556,0,0,0,0,2699,1319
"187","48540","Wheeling, WV-OH","metro",142664,54735,FALSE,"small metros",1820,1242,0,0,0,0,1700,1162
"188","48620","Wichita, KS","metro",636295,261264,TRUE,"large metros",10311,6411,152,88,503,468,9017,5622
"189","48660","Wichita Falls, TX","metro",150994,46665,FALSE,"small metros",2479,1589,0,0,0,112,2192,1430
"190","48700","Williamsport, PA","metro",114859,43915,FALSE,"small metros",1950,1350,0,NA,0,0,1878,1336
"191","48900","Wilmington, NC","metro",283251,108659,FALSE,"midsized metros",6466,4149,0,0,65,0,6055,3909
"192","49020","Winchester, VA-WV","metro",136305,55560,FALSE,"small metros",2188,1353,0,0,57,0,1933,1218
"193","49180","Winston-Salem, NC","metro",661798,237640,TRUE,"large metros",8967,5882,268,149,197,535,7891,5280
"194","49340","Worcester, MA-CT","metro",938818,337022,TRUE,"large metros",14773,10706,0,0,0,1102,13168,9661
"195","49420","Yakima, WA","metro",249325,70083,FALSE,"small metros",3576,2004,0,0,400,222,2837,1600
"196","49620","York-Hanover, PA","metro",444014,167130,FALSE,"midsized metros",5926,4171,31,0,0,229,5536,3933
"197","49660","Youngstown-Warren-Boardman, OH-PA","metro",545488,192993,FALSE,"large metros",8278,5662,67,36,89,289,7767,5384
"198","49700","Yuba City, CA","metro",171365,32176,FALSE,"small metros",2033,1511,0,0,0,385,1422,1068
"199","49740","Yuma, AZ","metro",207829,45094,FALSE,"small metros",2147,1269,0,0,585,94,1325,812
"200","10180","Abilene, TX","metro",170009,58400,FALSE,"small metros",2479,1504,0,0,0,103,2224,1379
"201","10420","Akron, OH","metro",704454,296361,TRUE,"large metros",11148,7997,232,127,70,411,10373,7558
"202","10500","Albany, GA","metro",149912,46015,FALSE,"small metros",2131,1462,172,93,0,177,1715,1234
"203","10540","Albany-Lebanon, OR","metro",122870,36602,FALSE,"small metros",2068,1230,NA,NA,0,0,1898,1133
"204","10580","Albany-Schenectady-Troy, NY","metro",880481,353006,TRUE,"large metros",14783,10450,0,0,309,1186,13058,9333
"205","10740","Albuquerque, NM","metro",910012,303614,TRUE,"large metros",12655,7077,76,54,2465,565,8825,5079
"206","10780","Alexandria, LA","metro",153894,47260,FALSE,"small metros",2138,1366,0,38,63,0,1863,1206
"207","10900","Allentown-Bethlehem-Easton, PA-NJ","metro",834615,331950,TRUE,"large metros",12796,8995,122,83,355,1007,11242,8074
"208","11020","Altoona, PA","metro",123842,52981,FALSE,"small metros",2010,1323,0,0,0,0,1915,1243
"209","11100","Amarillo, TX","metro",263412,95807,FALSE,"midsized metros",4565,2686,0,0,0,204,3948,2397
"210","11180","Ames, IA","metro",123321,38790,FALSE,"small metros",1464,911,0,0,0,77,1338,852
