cbsa_code,age_017,age_1834,age_35plus,female,male,total,race
12700,914,797,1447,1736,1422,3158,asian
12700,1991,1516,2362,2791,3078,5869,latino
12740,10659,11211,34455,28526,27799,56325,white non-hispanic
12740,108,181,213,183,319,502,black
12740,29,138,222,238,151,389,asian
12740,291,331,465,581,506,1087,latino
12780,8457,7851,24230,20945,19593,40538,white non-hispanic
12780,349,285,684,608,710,1318,black
12780,295,429,281,508,497,1005,asian
12780,1139,781,1051,1469,1502,2971,latino
12820,2583,2226,8285,6708,6386,13094,white non-hispanic
12820,3596,3002,6008,6674,5932,12606,black
12820,0,26,87,91,22,113,asian
12820,233,27,70,263,67,330,latino
12860,10644,10762,32515,27264,26657,53921,white non-hispanic
12860,272,522,691,611,874,1485,black
12860,76,111,219,213,193,406,asian
12860,660,518,640,743,1075,1818,latino
12900,7830,7024,19343,17626,16571,34197,white non-hispanic
12900,184,207,365,357,399,756,black
12900,49,54,154,185,72,257,asian
12900,944,625,689,1076,1182,2258,latino
12940,104133,121945,267640,248500,245218,493718,white non-hispanic
12940,80095,82568,130942,153362,140243,293605,black
12940,3385,6024,7732,8703,8438,17141,asian
12940,10019,9923,11593,14151,17384,31535,latino
12980,23397,22416,64538,56565,53786,110351,white non-hispanic
12980,3945,3365,7166,7304,7172,14476,black
12980,681,866,1290,1539,1298,2837,asian
12980,2541,1871,2297,3325,3384,6709,latino
13020,19864,19639,60084,50600,48987,99587,white non-hispanic
13020,402,577,774,743,1010,1753,black
13020,131,180,286,313,284,597,asian
13020,2010,1425,1993,2689,2739,5428,latino
13060,6774,5733,14936,13666,13777,27443,white non-hispanic
13060,899,851,2020,2000,1770,3770,black
13060,308,44,379,460,271,731,asian
13060,5169,3901,6160,7457,7773,15230,latino
13100,4563,3571,12749,10497,10386,20883,white non-hispanic
13100,18,29,88,91,44,135,black
13100,37,52,47,54,82,136,asian
13100,238,33,219,219,271,490,latino
13140,65708,63170,156153,140381,144650,285031,white non-hispanic
13140,25489,25656,48475,50399,49221,99620,black
13140,2512,2559,5453,5133,5391,10524,asian
13140,20238,17036,21890,26568,32596,59164,latino
13180,16914,15785,49584,39951,42332,82283,white non-hispanic
13180,132,834,1178,285,1859,2144,black
13180,87,173,222,235,247,482,asian
13180,1648,1115,1286,1838,2211,4049,latino
13220,22651,20479,66446,55286,54290,109576,white non-hispanic
13220,1745,2047,4520,3558,4754,8312,black
13220,142,246,473,358,503,861,asian
13220,501,542,649,530,1162,1692,latino
13260,9583,8116,26414,22258,21855,44113,white non-hispanic
13260,16,35,97,55,93,148,black
13260,27,53,111,150,41,191,asian
13260,291,250,180,303,418,721,latino
13300,6351,7920,14323,12036,16558,28594,white non-hispanic
13300,271,959,1552,193,2589,2782,black
13300,4,1,156,87,74,161,asian
13300,5257,5569,8232,8495,10563,19058,latino
13340,9913,7989,25126,21761,21267,43028,white non-hispanic
13340,147,184,445,344,432,776,black
13340,85,38,213,195,141,336,asian
13340,255,96,308,293,366,659,latino
13380,32538,47422,99075,90508,88527,179035,white non-hispanic
13380,595,511,1023,755,1374,2129,black
13380,1067,3105,4462,4721,3913,8634,asian
13380,6818,6159,6221,9385,9813,19198,latino
13420,6579,8847,18267,16843,16850,33693,white non-hispanic
13420,240,156,50,156,290,446,black
13420,81,104,190,230,145,375,asian
13420,512,323,183,481,537,1018,latino
13460,33539,31466,99052,83020,81037,164057,white non-hispanic
13460,407,276,286,387,582,969,black
13460,392,569,1090,1234,817,2051,asian
13460,5114,3755,4815,6702,6982,13684,latino
13500,1990,2136,7170,5507,5789,11296,white non-hispanic
13500,2925,3414,7513,6366,7486,13852,black
13500,6,4,85,48,47,95,asian
13500,125,341,443,166,743,909,latino
13540,6567,6405,21700,17824,16848,34672,white non-hispanic
13540,68,141,141,118,232,350,black
13540,33,32,75,61,79,140,asian
13540,191,204,237,275,357,632,latino
13620,6179,5998,24165,17687,18655,36342,white non-hispanic
