year,stco_code,frominstate_edu_baplus,frominstate_total,fromdiffstate_edu_baplus,fromdiffstate_total,fromabroad_edu_baplus,fromabroad_total,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus
2009,05101,15,158,28,127,0,0,28,127,0.0215363744276751,0.220472440944882
2009,05103,55,412,148,320,0,2,148,322,0.01824569356301,0.459627329192547
2009,05105,25,268,0,62,0,0,0,62,0.00871031188536106,0
2009,05107,0,240,24,323,0,7,24,330,0.0246378975660744,0.0727272727272727
2009,05109,52,418,9,44,0,0,9,44,0.00597420230821453,0.204545454545455
2009,05111,69,562,2,287,9,37,11,324,0.0195310145276991,0.0339506172839506
2009,05113,112,369,31,397,13,13,44,410,0.0295900692840647,0.107317073170732
2009,05115,332,1528,153,982,17,71,170,1053,0.028075507918733,0.161443494776828
2009,05117,0,149,8,37,0,0,8,37,0.00607254226161169,0.216216216216216
2009,05119,1627,6185,2925,6983,669,964,3594,7947,0.0320967709364082,0.452246130615327
2009,05121,56,300,9,217,0,25,9,242,0.0195224265892223,0.0371900826446281
2009,05123,47,379,58,800,0,66,58,866,0.0499826849821078,0.0669745958429561
2009,05125,497,2950,600,1468,10,43,610,1511,0.0232561718894293,0.403706154864328
2009,05127,7,98,21,213,0,26,21,239,0.0329609709005654,0.0878661087866109
2009,05129,0,126,0,92,0,0,0,92,0.0157588215142172,0
2009,05131,312,1596,390,2492,55,174,445,2666,0.0338106048116067,0.166916729182296
2009,05133,4,66,0,160,0,67,0,227,0.0224042637189104,0
2009,05135,34,538,28,283,0,5,28,288,0.0223550415275945,0.0972222222222222
2009,05137,0,249,0,256,0,0,0,256,0.0297397769516729,0
2009,05139,107,540,71,582,0,11,71,593,0.0205602940156716,0.11973018549747
2009,05141,35,463,35,134,0,23,35,157,0.0133401308522389,0.222929936305732
2009,05143,1202,3835,1891,5320,140,657,2031,5977,0.0496465682650696,0.339802576543416
2009,05145,99,1804,173,1247,0,68,173,1315,0.0280103094979445,0.131558935361217
2009,05147,2,62,0,53,0,7,0,60,0.0115207373271889,0
2009,05149,69,609,0,144,0,24,0,168,0.0119445431923214,0
2009,06001,16327,35637,8348,14359,4757,10139,13105,24498,0.0247552566268664,0.534941627887991
2009,06003,3,10,3,17,0,0,3,17,0.0231292517006803,0.176470588235294
2009,06005,396,2251,62,204,0,22,62,226,0.00790237420888842,0.274336283185841
2009,06007,966,4235,613,1519,153,379,766,1898,0.0144613931091233,0.403582718651212
2009,06009,229,1219,85,304,18,66,103,370,0.0108552149039167,0.278378378378378
2009,06011,42,411,41,195,100,242,141,437,0.0347653142402546,0.322654462242563
2009,06013,10520,23456,3742,6756,2013,4509,5755,11265,0.0167901271369591,0.510874389702619
2009,06015,126,1589,96,264,26,26,122,290,0.0148649341329643,0.420689655172414
2009,06017,1844,5072,612,1519,180,496,792,2015,0.0168438827030461,0.393052109181141
2009,06019,2572,12678,1296,4555,597,2823,1893,7378,0.0141453725574404,0.256573597180808
2009,06021,74,659,21,77,0,51,21,128,0.00746442733846513,0.1640625
2009,06023,575,2618,520,1630,46,186,566,1816,0.0221406712914985,0.311674008810573
2009,06025,307,3889,341,894,156,1210,497,2104,0.0226472772676878,0.236216730038023
2009,06027,173,740,84,235,0,0,84,235,0.0192686126598885,0.357446808510638
2009,06029,2768,24872,1750,7112,448,2667,2198,9779,0.0215725766423197,0.224767358625626
2009,06031,546,7091,307,1756,43,836,350,2592,0.0297900217218908,0.135030864197531
2009,06033,376,2004,193,623,15,61,208,684,0.0152064204886508,0.304093567251462
2009,06035,219,3883,69,680,10,122,79,802,0.0327547478047784,0.0985037406483791
2009,06037,24172,66123,31884,59501,18000,46206,49884,105707,0.0168672734015128,0.471908199078585
2009,06039,617,6581,68,622,45,486,113,1108,0.0125683432019783,0.101985559566787
2009,06041,3929,9944,1325,2267,409,889,1734,3156,0.0175796263493867,0.549429657794677
2009,06043,61,602,51,295,0,18,51,313,0.0232299242986493,0.162939297124601
2009,06045,499,1318,163,772,48,139,211,911,0.0156097393807508,0.231613611416026
2009,06047,743,5012,265,1030,36,333,301,1363,0.0100024217161895,0.220836390315481
2009,06049,10,430,19,114,0,0,19,114,0.0173939578883125,0.166666666666667
2009,06051,282,928,0,248,50,100,50,348,0.0393709695666931,0.14367816091954
2009,06053,1843,8400,2397,4430,1010,2478,3407,6908,0.0277947661505778,0.493196294151708
2009,06055,641,3025,511,1056,249,770,760,1826,0.020481643915516,0.416210295728368
2009,06057,1155,2845,290,742,46,140,336,882,0.0124865507673141,0.380952380952381
2009,06059,18217,45603,11980,22170,7000,16120,18980,38290,0.0197127772672397,0.495690780882737
2009,06061,3662,12086,1327,2957,470,1020,1797,3977,0.0177222635657533,0.45184812672869
2009,06063,55,720,47,238,0,13,47,251,0.0162291478080952,0.187250996015936
2009,06065,14615,64007,5781,16106,2177,8002,7958,24108,0.0194411829219514,0.330097892815663
2009,06067,9225,32765,4434,11055,1771,5219,6205,16274,0.0183857505349424,0.38128302814305
2009,06069,98,1262,43,144,33,784,76,928,0.02774455871801,0.0818965517241379
2009,06071,8479,50577,3193,12718,1630,6473,4823,19191,0.0165884827126591,0.251315720910844
2009,06073,11309,30760,18592,41951,7532,19155,26124,61106,0.0317608822317132,0.427519392531012
2009,06075,12114,20153,9924,12679,4152,7367,14076,20046,0.0321405036724446,0.702184974558515
2009,06077,2748,15618,820,3620,359,2611,1179,6231,0.0157562945524337,0.189215214251324
2009,06079,1806,8113,798,1890,142,544,940,2434,0.0147759626533598,0.386195562859491
2009,06081,10495,21074,2543,3984,2599,4965,5142,8949,0.0183113981240485,0.574589339591016
2009,06083,2007,6367,1834,3641,586,1462,2420,5103,0.021586933623246,0.474230844601215
2009,06085,13652,26425,8468,13235,9509,16002,17977,29237,0.025352007644536,0.614871566850224
2009,06087,1771,5157,1274,2033,293,752,1567,2785,0.0177382885895354,0.562657091561939
2009,06089,662,3508,341,1134,38,279,379,1413,0.0117242924352177,0.268223637650389
2009,06091,78,146,0,13,0,0,0,13,0.00511006289308176,0
2009,06093,196,1048,241,773,17,34,258,807,0.0255914251284328,0.319702602230483
2009,06095,2725,11853,1092,2671,467,1722,1559,4393,0.016840579932377,0.354882768040064
2009,06097,2904,7721,1591,3704,369,1147,1960,4851,0.0153592370724047,0.404040404040404
2009,06099,1530,9667,823,2628,339,1594,1162,4222,0.013918329536726,0.275225011842729
2009,06101,427,2678,109,666,36,617,145,1283,0.0226570363960655,0.113016367887763
2009,06103,255,1991,63,393,0,90,63,483,0.0121268422506214,0.130434782608696
2009,06105,116,510,13,75,0,70,13,145,0.0138279610909784,0.0896551724137931
2009,06107,793,5592,266,1610,118,1028,384,2638,0.0112283509476847,0.145564821834723
2009,06109,383,4297,125,469,32,82,157,551,0.01338906033582,0.284936479128857
2009,06111,5493,14145,2200,6042,883,3066,3083,9108,0.0180747996650169,0.338493631971893
2009,06113,2285,6018,614,1512,489,885,1103,2397,0.0227167186330165,0.460158531497705
2009,06115,391,3274,108,689,114,394,222,1083,0.0257128611790403,0.204986149584488
2009,08001,3174,16106,1569,5984,320,1669,1889,7653,0.0290991912455275,0.246831307983797
2009,08003,56,333,21,231,10,31,31,262,0.0305646290247317,0.118320610687023
2009,08005,6069,18197,3835,9969,626,2161,4461,12130,0.0342133468720032,0.367765869744435
2009,08007,128,134,51,196,0,0,51,196,0.0363299351251158,0.260204081632653
2009,08009,6,24,2,34,0,10,2,44,0.015850144092219,0.0454545454545455
2009,08011,116,904,0,103,0,13,0,116,0.0247863247863248,0
2009,08013,2708,5622,4755,7140,844,1487,5599,8627,0.0472443100917833,0.649008925466559
2009,08014,1307,2892,639,1261,53,65,692,1326,0.0387549320473477,0.521870286576169
2009,08015,152,1011,180,397,0,13,180,410,0.0323624595469256,0.439024390243902
2009,08017,0,11,0,10,0,0,0,10,0.00904159132007233,0
2009,08019,124,302,105,196,20,20,125,216,0.0329821346770499,0.578703703703704
2009,08021,20,116,8,99,0,0,8,99,0.0196975726223637,0.0808080808080808
2009,08023,0,47,34,64,0,0,34,64,0.0269133725820017,0.53125
2009,08025,65,1238,3,50,8,192,11,242,0.0570351166627386,0.0454545454545455
2009,08027,0,80,26,79,13,13,39,92,0.0336626417855836,0.423913043478261
2009,08029,167,900,180,560,0,84,180,644,0.030308734939759,0.279503105590062
2009,08031,7608,22827,7596,13167,1248,3145,8844,16312,0.0410198636527092,0.542177538008828
2009,08033,0,18,0,78,0,0,0,78,0.0597701149425287,0
2009,08035,4118,9440,4721,8282,391,665,5112,8947,0.0520062544685155,0.571364703252487
