"","cbsa_name","cbsa_size","i5hgc_density","cbsa_code"
"328","Portland-Vancouver-Hillsboro, OR-WA","Large",127.8,"38900"
"329","Port Lavaca, TX","Micro",46.9,"38920"
"330","Port St. Lucie, FL","Medium",11.8,"38940"
"331","Pottsville, PA","Micro",20.2,"39060"
"332","Prescott, AZ","Small",18.9,"39140"
"333","Price, UT","Micro",46.7,"39220"
"334","Providence-Warwick, RI-MA","Large",60.5,"39300"
"335","Provo-Orem, UT","Medium",341.1,"39340"
"336","Pueblo, CO","Small",37.5,"39380"
"337","Pullman, WA","Micro",21.4,"39420"
"338","Punta Gorda, FL","Small",18.6,"39460"
"339","Racine, WI","Small",15.4,"39540"
"340","Raleigh, NC","Large",171.2,"39580"
"341","Rapid City, SD","Small",7.1,"39660"
"342","Reading, PA","Medium",63.2,"39740"
"343","Redding, CA","Small",22.4,"39820"
"344","Red Wing, MN","Micro",151.9,"39860"
"345","Reno, NV","Medium",63.4,"39900"
"346","Rexburg, ID","Micro",40.3,"39940"
"347","Richmond, VA","Large",101.4,"40060"
"348","Riverside-San Bernardino-Ontario, CA","Large",25.1,"40140"
"349","Roanoke, VA","Medium",38.8,"40220"
"350","Rochester, MN","Small",14.3,"40340"
"351","Rochester, NY","Large",79.7,"40380"
"352","Rockford, IL","Medium",48.9,"40420"
"353","Rolla, MO","Micro",22.6,"40620"
"354","Rome, GA","Small",62.4,"40660"
"355","Roseburg, OR","Micro",9.3,"40700"
"356","Ruston, LA","Micro",106.5,"40820"
"357","Sacramento--Roseville--Arden-Arcade, CA","Large",50.1,"40900"
"358","Saginaw, MI","Small",10,"40980"
"359","St. Cloud, MN","Small",58.2,"41060"
"360","St. George, UT","Small",34.3,"41100"
"361","St. Louis, MO-IL","Large",69.3,"41180"
"362","Salem, OR","Medium",25.5,"41420"
"363","Salina, KS","Micro",32.5,"41460"
"364","Salinas, CA","Medium",31.2,"41500"
"365","Salisbury, MD-DE","Medium",34.7,"41540"
"366","Salt Lake City, UT","Large",232.1,"41620"
"367","San Angelo, TX","Small",8.8,"41660"
"368","San Antonio-New Braunfels, TX","Large",52.2,"41700"
"369","San Diego-Carlsbad, CA","Large",177.8,"41740"
"370","Sandpoint, ID","Micro",24.4,"41760"
"371","Sandusky, OH","Micro",26.1,"41780"
"372","Sanford, NC","Micro",34.7,"41820"
"373","San Francisco-Oakland-Hayward, CA","Large",198.6,"41860"
"374","San Jose-Sunnyvale-Santa Clara, CA","Large",151.6,"41940"
"375","San Juan-Carolina-Caguas, PR","Large",3,"41980"
"376","San Luis Obispo-Paso Robles-Arroyo Grande, CA","Medium",133.4,"42020"
"377","Santa Cruz-Watsonville, CA","Medium",57,"42100"
"378","Santa Maria-Santa Barbara, CA","Medium",129.8,"42200"
"379","Santa Rosa, CA","Medium",76.5,"42220"
"380","Savannah, GA","Medium",40.8,"42340"
"381","Scranton--Wilkes-Barre--Hazleton, PA","Medium",7.1,"42540"
"382","Seattle-Tacoma-Bellevue, WA","Large",154.9,"42660"
"383","Sebastian-Vero Beach, FL","Small",35.9,"42680"
"384","Sebring, FL","Small",20.1,"42700"
"385","Selinsgrove, PA","Micro",75.3,"42780"
"386","Sevierville, TN","Micro",66.1,"42940"
"387","Sheboygan, WI","Small",8.7,"43100"
"388","Sheridan, WY","Micro",33.6,"43260"
"389","Show Low, AZ","Micro",9.3,"43320"
"390","Shreveport-Bossier City, LA","Medium",22.7,"43340"
"391","Sioux City, IA-NE-SD","Small",11.9,"43580"
"392","Sioux Falls, SD","Small",63.2,"43620"
"393","Somerset, PA","Micro",12.9,"43740"
"394","South Bend-Mishawaka, IN-MI","Medium",59.5,"43780"
"395","Spartanburg, SC","Medium",35,"43900"
"396","Spearfish, SD","Micro",42.1,"43940"
"397","Spirit Lake, IA","Micro",417.1,"44020"
"398","Spokane-Spokane Valley, WA","Medium",30.3,"44060"
