cbsa_code,cbsa_name,unweighted_total,total,pemployed,med_hrly_earnings_adj,med_annual_earnings_adj,med_fam_income_adj,pmale,pa1824,pa2534,pa4554,pa5564,pa2550,pa5164,pwhiteNH,pblackNH,platino,pasianNH,plths,phs,psc,paa,pbaplus,pinsch,plep,pfb,plivewparent1824,pmar_1,pchildren,ppoor,p_below2xfpl,psafetynet,psoc_minor_412,psector_72,psector_3133,psector_4445
11260,"Anchorage, AK",101,4957,1,8,10983,65241,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11260,"Anchorage, AK",46,2036,1,12,21764,73002,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11260,"Anchorage, AK",401,14971,1,11,20447,40861,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11260,"Anchorage, AK",316,11731,1,13,25954,53097,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11260,"Anchorage, AK",264,9795,1,14,25559,64203,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11260,"Anchorage, AK",140,4497,1,12,19642,53839,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11260,"Anchorage, AK",108,3271,1,13,27457,48364,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11260,"Anchorage, AK",84,3004,1,14,25345,89446,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11460,"Ann Arbor, MI",224,7240,1,9,14195,26362,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11460,"Ann Arbor, MI",331,9783,1,8,6692,14415,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11460,"Ann Arbor, MI",178,5380,1,10,13602,28031,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11460,"Ann Arbor, MI",253,6866,1,11,19131,41185,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11460,"Ann Arbor, MI",311,7954,1,12,20481,31258,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11460,"Ann Arbor, MI",476,10710,1,12,20447,42520,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11460,"Ann Arbor, MI",118,2436,1,11,18137,36961,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11460,"Ann Arbor, MI",102,2476,1,12,20152,42382,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11460,"Ann Arbor, MI",169,3559,1,12,16223,65393,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11500,"Anniston-Oxford-Jacksonville, AL",115,2819,1,8,13099,43347,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11500,"Anniston-Oxford-Jacksonville, AL",67,1414,1,8,8111,23320,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11500,"Anniston-Oxford-Jacksonville, AL",30,711,1,10,11616,20152,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11500,"Anniston-Oxford-Jacksonville, AL",214,6195,1,9,15949,32079,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11500,"Anniston-Oxford-Jacksonville, AL",118,3380,1,10,16611,26581,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11500,"Anniston-Oxford-Jacksonville, AL",77,2304,1,10,19829,40383,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11500,"Anniston-Oxford-Jacksonville, AL",99,2011,1,10,17649,38545,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11500,"Anniston-Oxford-Jacksonville, AL",38,847,1,10,18250,50797,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11500,"Anniston-Oxford-Jacksonville, AL",23,378,1,10,15335,46640,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11540,"Appleton, WI",114,3325,1,9,14313,38529,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11540,"Appleton, WI",79,2466,1,7,8026,71564,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11540,"Appleton, WI",44,1674,1,11,16357,28134,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
