cbsa_code,cbsa_name,tracts,households,price,income,pi,pi_map,pi_10,pi_90,pi_10_90
21340,"El Paso, TX",153,254949,"$113,315","$42,148",2.81,Normal range,8%,0%,92%
21060,"Elizabethtown-Fort Knox, KY",29,54288,"$131,597","$48,240",2.79,Normal range,3%,0%,97%
21140,"Elkhart-Goshen, IN",36,70822,"$121,536","$48,923",2.5,Normal range,8%,0%,92%
21300,"Elmira, NY",20,33931,"$95,385","$47,966",2.06,Low,50%,0%,50%
21500,"Erie, PA",69,108812,"$112,838","$48,106",2.35,Low,23%,0%,77%
21660,"Eugene, OR",84,142138,"$233,510","$48,799",5.16,High,0%,12%,88%
21780,"Evansville, IN-KY",77,126521,"$110,873","$46,359",2.49,Normal range,14%,1%,84%
21820,"Fairbanks, AK",17,32459,"$214,100","$71,140",3.18,Normal range,0%,0%,100%
22020,"Fargo, ND-MN",44,89988,"$170,993","$57,963",3.11,Normal range,5%,2%,93%
22140,"Farmington, NM",33,41036,"$133,867","$49,837",2.72,Normal range,12%,0%,88%
22180,"Fayetteville, NC",66,135836,"$126,856","$43,412",2.97,Normal range,2%,2%,97%
22220,"Fayetteville-Springdale-Rogers, AR-MO",88,182343,"$155,905","$54,448",2.98,Normal range,1%,1%,98%
22380,"Flagstaff, AZ",27,46815,"$224,352","$52,724",4.17,Normal range,15%,11%,74%
22420,"Flint, MI",129,166244,"$82,672","$43,361",1.8,Very low,57%,1%,43%
22500,"Florence, SC",48,78152,"$108,525","$41,884",2.61,Normal range,21%,0%,79%
22520,"Florence-Muscle Shoals, AL",36,60466,"$110,281","$41,487",2.75,Normal range,8%,0%,92%
22540,"Fond du Lac, WI",20,41029,"$140,685","$56,379",2.51,Normal range,10%,0%,90%
22660,"Fort Collins, CO",70,125529,"$286,089","$63,683",4.78,High,1%,11%,87%
22900,"Fort Smith, AR-OK",58,107765,"$103,176","$39,835",2.61,Normal range,5%,0%,95%
23060,"Fort Wayne, IN",108,165470,"$108,104","$49,860",2.14,Low,30%,0%,70%
23420,"Fresno, CA",196,298528,"$191,883","$50,243",4.04,Normal range,1%,7%,93%
23460,"Gadsden, AL",30,39522,"$87,487","$38,754",2.23,Low,30%,0%,70%
23540,"Gainesville, FL",51,89955,"$156,300","$50,102",3.33,Normal range,4%,4%,92%
23580,"Gainesville, GA",36,62327,"$166,039","$54,354",3.07,Normal range,0%,3%,97%
23900,"Gettysburg, PA",23,38269,"$202,517","$62,302",3.33,Normal range,0%,0%,100%
24020,"Glens Falls, NY",36,50971,"$177,833","$55,500",3.22,Normal range,0%,0%,100%
24140,"Goldsboro, NC",25,46396,"$111,912","$40,928",2.82,Normal range,0%,0%,100%
24220,"Grand Forks, ND-MN",26,39742,"$155,177","$56,201",2.89,Normal range,4%,0%,96%
24260,"Grand Island, NE",22,32189,"$127,000","$53,953",2.35,Low,14%,0%,86%
24300,"Grand Junction, CO",29,59501,"$217,021","$51,230",4.4,High,0%,7%,93%
24340,"Grand Rapids-Wyoming, MI",204,376351,"$145,965","$57,496",2.58,Normal range,10%,1%,89%
24420,"Grants Pass, OR",16,34778,"$234,581","$40,032",5.93,High,0%,25%,75%
24500,"Great Falls, MT",21,33026,"$160,248","$45,577",3.73,Normal range,0%,10%,90%
24540,"Greeley, CO",73,93156,"$236,764","$70,451",3.36,Normal range,1%,0%,99%
24580,"Green Bay, WI",67,125539,"$149,060","$54,225",2.84,Normal range,1%,0%,99%
24660,"Greensboro-High Point, NC",167,292685,"$144,917","$48,498",3.08,Normal range,3%,2%,95%
24780,"Greenville, NC",30,64126,"$128,877","$45,588",2.9,Normal range,7%,0%,93%
24860,"Greenville-Anderson-Mauldin, SC",193,326297,"$144,848","$48,034",3.1,Normal range,3%,3%,95%
25060,"Gulfport-Biloxi-Pascagoula, MS",76,144939,"$129,458","$44,185",3.05,Normal range,3%,1%,96%
25180,"Hagerstown-Martinsburg, MD-WV",45,97814,"$181,391","$55,569",3.4,Normal range,0%,2%,98%
25220,"Hammond, LA",20,46068,"$135,210","$42,159",3.38,Normal range,5%,5%,90%
25260,"Hanford-Corcoran, CA",24,40227,"$171,992","$49,632",3.52,Normal range,0%,0%,100%
25420,"Harrisburg-Carlisle, PA",121,223663,"$163,810","$57,882",2.89,Normal range,4%,0%,96%
25500,"Harrisonburg, VA",29,45183,"$205,731","$53,695",3.97,Normal range,0%,3%,97%
25540,"Hartford-West Hartford-East Hartford, CT",272,456620,"$238,642","$75,393",3.44,Normal range,0%,4%,96%
25620,"Hattiesburg, MS",27,53483,"$117,115","$42,659",2.8,Normal range,4%,0%,96%
25860,"Hickory-Lenoir-Morganton, NC",73,139617,"$128,444","$42,733",2.99,Normal range,0%,0%,100%
25940,"Hilton Head Island-Bluffton-Beaufort, SC",42,76364,"$297,286","$62,153",4.54,High,0%,10%,90%
25980,"Hinesville, GA",13,25411,"$120,223","$44,583",2.75,Normal range,8%,0%,92%
26140,"Homosassa Springs, FL",27,61350,"$115,359","$38,209",2.99,Normal range,0%,0%,100%
26300,"Hot Springs, AR",20,40353,"$123,940","$38,044",3.41,Normal range,5%,5%,90%
26380,"Houma-Thibodaux, LA",44,75786,"$135,809","$50,629",2.73,Normal range,7%,0%,93%
26420,"Houston-The Woodlands-Sugar Land, TX",1014,2100000,"$182,571","$65,850",2.74,Normal range,26%,3%,72%
26580,"Huntington-Ashland, WV-KY-OH",91,141832,"$103,332","$41,968",2.54,Normal range,11%,1%,88%
26620,"Huntsville, AL",88,171705,"$158,039","$57,637",2.91,Normal range,2%,1%,97%
26820,"Idaho Falls, ID",26,46349,"$157,892","$54,216",2.94,Normal range,0%,0%,100%
26900,"Indianapolis-Carmel-Anderson, IN",394,745060,"$134,638","$53,867",2.55,Normal range,16%,0%,84%
26980,"Iowa City, IA",27,61214,"$195,456","$59,413",3.64,Normal range,4%,7%,89%
27060,"Ithaca, NY",20,35436,"$218,255","$55,961",4.1,Normal range,0%,10%,90%
27100,"Jackson, MI",36,60217,"$108,592","$46,926",2.31,Low,14%,0%,86%
27140,"Jackson, MS",128,209135,"$122,942","$47,414",2.61,Normal range,16%,0%,84%
27180,"Jackson, TN",35,48636,"$112,289","$43,205",2.69,Normal range,9%,0%,91%
27260,"Jacksonville, FL",256,527943,"$177,745","$55,588",3.11,Normal range,5%,1%,94%
27340,"Jacksonville, NC",25,58001,"$156,900","$47,212",3.36,Normal range,0%,0%,100%
27500,"Janesville-Beloit, WI",38,63941,"$125,758","$50,332",2.52,Normal range,8%,0%,92%
27620,"Jefferson City, MO",31,56214,"$136,497","$52,976",2.61,Normal range,3%,0%,97%
27740,"Johnson City, TN",43,83809,"$128,067","$38,956",3.35,Normal range,0%,0%,100%
27780,"Johnstown, PA",41,56353,"$85,268","$43,420",1.91,Very low,63%,0%,37%
27860,"Jonesboro, AR",23,46875,"$106,622","$43,728",2.56,Normal range,17%,0%,83%
27900,"Joplin, MO",34,67754,"$109,753","$44,325",2.5,Normal range,6%,0%,94%
27980,"Kahului-Wailuku-Lahaina, HI",34,53903,"$535,027","$65,535",8.47,Very high,0%,76%,24%
28020,"Kalamazoo-Portage, MI",71,129329,"$128,599","$50,114",2.61,Normal range,10%,1%,89%
28100,"Kankakee, IL",29,40480,"$129,862","$52,501",2.53,Normal range,3%,0%,97%
28140,"Kansas City, MO-KS",510,801215,"$158,681","$61,080",2.6,Normal range,18%,1%,82%
28420,"Kennewick-Richland, WA",48,93567,"$187,125","$65,727",2.94,Normal range,0%,0%,100%
