"Appendix Table 1: Average price-income ratios in U.S. metro areas, 2012-16",,,,,,,,,,
Note: Figures include only tracts where at least 10% of homes are owner-occupied,,,,,,,,,,
Source: Brookings Institution analysis of 2012-16 American Community Survey data,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,% of tracts where the price-income ratio is…,,
CBSA,Metro Name,# Tracts,# Households,Average price,Average income,Average price-income rato,Map category,Under 10th percentile,Between 10th-90th percentile,Above the 90th percentile
22140,"Farmington, NM",33,"41,036",133867,49837,2.72,Normal range,0.12,0.88,0.00
22180,"Fayetteville, NC",66,"135,836",126856,43412,2.97,Normal range,0.02,0.97,0.02
22220,"Fayetteville-Springdale-Rogers, AR-MO",88,"182,343",155905,54448,2.98,Normal range,0.01,0.98,0.01
22380,"Flagstaff, AZ",27,"46,815",224352,52724,4.17,Normal range,0.15,0.74,0.11
22420,"Flint, MI",129,"166,244",82672,43361,1.8,Very low,0.57,0.43,0.01
22500,"Florence, SC",48,"78,152",108525,41884,2.61,Normal range,0.21,0.79,0.00
22520,"Florence-Muscle Shoals, AL",36,"60,466",110281,41487,2.75,Normal range,0.08,0.92,0.00
22540,"Fond du Lac, WI",20,"41,029",140685,56379,2.51,Normal range,0.10,0.90,0.00
22660,"Fort Collins, CO",70,"125,529",286089,63683,4.78,High,0.01,0.87,0.11
22900,"Fort Smith, AR-OK",58,"107,765",103176,39835,2.61,Normal range,0.05,0.95,0.00
23060,"Fort Wayne, IN",108,"165,470",108104,49860,2.14,Low,0.30,0.70,0.00
23420,"Fresno, CA",196,"298,528",191883,50243,4.04,Normal range,0.01,0.93,0.07
23460,"Gadsden, AL",30,"39,522",87487,38754,2.23,Low,0.30,0.70,0.00
23540,"Gainesville, FL",51,"89,955",156300,50102,3.33,Normal range,0.04,0.92,0.04
23580,"Gainesville, GA",36,"62,327",166039,54354,3.07,Normal range,0.00,0.97,0.03
23900,"Gettysburg, PA",23,"38,269",202517,62302,3.33,Normal range,0.00,1.00,0.00
24020,"Glens Falls, NY",36,"50,971",177833,55500,3.22,Normal range,0.00,1.00,0.00
24140,"Goldsboro, NC",25,"46,396",111912,40928,2.82,Normal range,0.00,1.00,0.00
24220,"Grand Forks, ND-MN",26,"39,742",155177,56201,2.89,Normal range,0.04,0.96,0.00
24260,"Grand Island, NE",22,"32,189",127000,53953,2.35,Low,0.14,0.86,0.00
24300,"Grand Junction, CO",29,"59,501",217021,51230,4.4,High,0.00,0.93,0.07
24340,"Grand Rapids-Wyoming, MI",204,"376,351",145965,57496,2.58,Normal range,0.10,0.89,0.01
24420,"Grants Pass, OR",16,"34,778",234581,40032,5.93,High,0.00,0.75,0.25
24500,"Great Falls, MT",21,"33,026",160248,45577,3.73,Normal range,0.00,0.90,0.10
24540,"Greeley, CO",73,"93,156",236764,70451,3.36,Normal range,0.01,0.99,0.00
24580,"Green Bay, WI",67,"125,539",149060,54225,2.84,Normal range,0.01,0.99,0.00
24660,"Greensboro-High Point, NC",167,"292,685",144917,48498,3.08,Normal range,0.03,0.95,0.02
24780,"Greenville, NC",30,"64,126",128877,45588,2.9,Normal range,0.07,0.93,0.00
24860,"Greenville-Anderson-Mauldin, SC",193,"326,297",144848,48034,3.1,Normal range,0.03,0.95,0.03
25060,"Gulfport-Biloxi-Pascagoula, MS",76,"144,939",129458,44185,3.05,Normal range,0.03,0.96,0.01
25180,"Hagerstown-Martinsburg, MD-WV",45,"97,814",181391,55569,3.4,Normal range,0.00,0.98,0.02
25220,"Hammond, LA",20,"46,068",135210,42159,3.38,Normal range,0.05,0.90,0.05
25260,"Hanford-Corcoran, CA",24,"40,227",171992,49632,3.52,Normal range,0.00,1.00,0.00
25420,"Harrisburg-Carlisle, PA",121,"223,663",163810,57882,2.89,Normal range,0.04,0.96,0.00
25500,"Harrisonburg, VA",29,"45,183",205731,53695,3.97,Normal range,0.00,0.97,0.03
25540,"Hartford-West Hartford-East Hartford, CT",272,"456,620",238642,75393,3.44,Normal range,0.00,0.96,0.04
25620,"Hattiesburg, MS",27,"53,483",117115,42659,2.8,Normal range,0.04,0.96,0.00
25860,"Hickory-Lenoir-Morganton, NC",73,"139,617",128444,42733,2.99,Normal range,0.00,1.00,0.00
25940,"Hilton Head Island-Bluffton-Beaufort, SC",42,"76,364",297286,62153,4.54,High,0.00,0.90,0.10
25980,"Hinesville, GA",13,"25,411",120223,44583,2.75,Normal range,0.08,0.92,0.00
26140,"Homosassa Springs, FL",27,"61,350",115359,38209,2.99,Normal range,0.00,1.00,0.00
26300,"Hot Springs, AR",20,"40,353",123940,38044,3.41,Normal range,0.05,0.90,0.05
