"","Year","Academic.Institution..Campus.Level..survey.specific.","RDINST","fice","CITY","state","Zip","Total.R.D.Expenditures.in.All.Fields.Sum.","Total.R.D.Expenditures.in.All.Fields.Sum..Flag","Deflated.Total.R.D.Expenditures.in.All.Fields.Sum.","Deflated.Total.R.D.Expenditures.in.All.Fields.Sum..Flag","Business.Financed.R.D.Expenditures.Sum.","Business.Financed.R.D.Expenditures.Sum..Flag","Deflated.Business.Financed.R.D.Expenditures.Sum.","Deflated.Business.Financed.R.D.Expenditures.Sum..Flag","county","fips","cbsacode"
"167",2012,"Elon University",2927,2927,"Elon College","North Carolina","27244",1658,"",1581.91,"","3","","2.86","","37081","37081",24660
"168",2012,"Elon University",2927,2927,"Elon College","North Carolina","27244",1658,"",1581.91,"","3","","2.86","","37033","37033",NA
"169",2012,"Embry-Riddle Aeronautical University",1479,1479,"Daytona Beach","Florida","32114",19376,"",18486.79,"","1424","","1358.65","","12127","12127",19660
"170",2012,"Emory University",1564,1564,"Atlanta","Georgia","30322",565766,"",539801.55,"","29360","","28012.59","","13089","13089",12060
"171",2012,"Erikson Institute",35103,35103,"Chicago","Illinois","60654",2511,"",2395.76,"","0","","0.00","","17031","17031",16980
"172",2012,"Evergreen State College, The",8155,8155,"Olympia","Washington","98505",819,"",781.41,"","1","","0.95","","53067","53067",36500
"173",2012,"Fairfield University",1385,1385,"Fairfield","Connecticut","06430",9331,"i",8902.78,"i","54","i","51.52","i","09001","09001",14860
"174",2012,"Fayetteville State University",2928,2928,"Fayetteville","North Carolina","28301",15719,"",14997.61,"","82","","78.24","","37051","37051",22180
"175",2012,"Fisk University",3490,3490,"Nashville","Tennessee","37203",4058,"",3871.77,"","0","","0.00","","47037","47037",34980
"176",2012,"Florida Agricultural and Mechanical University",1480,1480,"Tallahassee","Florida","32307",52263,"",49864.52,"","1929","","1840.47","","12073","12073",45220
"177",2012,"Florida Atlantic University",1481,1481,"Boca Raton","Florida","33431",65377,"",62376.68,"","364","","347.30","","12099","12099",33100
"178",2012,"Florida Gulf Coast University",32553,9842,"Fort Myers","Florida","33965",14393,"",13732.47,"","4919","","4693.25","","12071","12071",15980
"179",2012,"Florida Institute of Technology",1469,1469,"Melbourne","Florida","32901",17100,"",16315.24,"","979","","934.07","","12009","12009",37340
"180",2012,"Florida International University",9635,9635,"Miami","Florida","33199",118058,"",112640.02,"","2343","","2235.47","","12086","12086",33100
"181",2012,"Florida State University",1489,1489,"Tallahassee","Florida","32306",225378,"",215034.82,"","1691","","1613.40","","12073","12073",45220
"182",2012,"Fordham University",2722,2722,"Bronx","New York","10458",19311,"",18424.77,"","0","","0.00","","36005","36005",35620
"183",2012,"Fort Valley State University",1566,1566,"Fort Valley","Georgia","31030",3665,"",3496.8,"","0","","0.00","","13079","13079",31420
"184",2012,"Fort Valley State University",1566,1566,"Fort Valley","Georgia","31030",3665,"",3496.8,"","0","","0.00","","13193","13193",NA
"185",2012,"Fort Valley State University",1566,1566,"Fort Valley","Georgia","31030",3665,"",3496.8,"","0","","0.00","","13225","13225",47580
"186",2012,"Fort Valley State University",1566,1566,"Fort Valley","Georgia","31030",3665,"",3496.8,"","0","","0.00","","13153","13153",47580
"187",2012,"Franklin & Marshall College",3265,3265,"Lancaster","Pennsylvania","17604",2997,"",2859.46,"","101","","96.36","","42071","42071",29540
"188",2012,"Franklin W. Olin College of Engineering",1027,39463,"Needham","Massachusetts","02492",1777,"",1695.45,"","105","","100.18","","25021","25021",14460
"189",2012,"Furman University",3434,3434,"Greenville","South Carolina","29613",2049,"",1954.97,"","2","","1.91","","45045","45045",24860
"190",2012,"Gallaudet University",1443,1443,"Washington","District of Columbia","20002",6765,"",6454.54,"","0","","0.00","","11001","11001",47900
"191",2012,"George Mason University",3749,3749,"Fairfax","Virginia","22030",90198,"",86058.58,"","946","","902.59","","51059","51059",47900
"192",2012,"George Mason University",3749,3749,"Fairfax","Virginia","22030",90198,"",86058.58,"","946","","902.59","","51600","51600",47900
"193",2012,"George Washington University, The",1444,1444,"Washington","District of Columbia","20052",196448,"",187432.5,"","1923","","1834.75","","11001","11001",47900
"194",2012,"Georgetown University",1445,1445,"Washington","District of Columbia","20057",180308,"",172033.2,"","5252","","5010.97","","11001","11001",47900
"195",2012,"Georgia Health Sciences University",1579,1579,"Augusta","Georgia","30912",70526,"",67289.38,"","3109","","2966.32","","13245","13245",12260
"196",2012,"Georgia Institute of Technology",8723,8723,"Atlanta","Georgia","30332",688905,"",657289.38,"","44491","","42449.19","","13121","13121",12060
