cbsa_code,year_range,cbsa_name,st_name,cbsa_patents_invented,cbsa_inventors_per_patent,cbsa_patent_applications,cbsa_applicants_per_patent
"Grand Island, NE",2008-2012,24260,Nebraska,2.36666679382324,5,1,1
"Grand Junction, CO",2008-2012,24300,Colorado,30.8888282775879,66,17.75,20
"Grand Rapids-Wyoming, MI",2008-2012,24340,Michigan,636.242248535156,1931,902.26904296875,966
"Grants, NM",2008-2012,24380,New Mexico,4.02500009536743,9,3,3
"Grants Pass, OR",2008-2012,24420,Oregon,12.5,17,11.5,12
"Great Bend, KS",2008-2012,24460,Kansas,0.875,3,3,3
"Great Falls, MT",2008-2012,24500,Montana,2.64285707473755,4,3,3
"Greeley, CO",2008-2012,24540,Colorado,212.738845825195,589,61.7520217895508,101
"Green Bay, WI",2008-2012,24580,Wisconsin,68.0151596069336,161,49.3166656494141,60
"Greeneville, TN",2008-2012,24620,Tennessee,15.7637090682983,56,12,12
"Greenfield Town, MA",2008-2012,24640,Massachusetts,33.5019836425781,86,15,15
"Greensboro-High Point, NC",2008-2012,24660,North Carolina,306.719482421875,851,297.566680908203,323
"Greensburg, IN",2008-2012,24700,Indiana,4.05873012542725,12,2.07142853736877,3
"Greenville, MS",2008-2012,24740,Mississippi,2.3511905670166,9,NA,NA
"Greenville, NC",2008-2012,24780,North Carolina,28.9459705352783,69,21.6666660308838,25
